PESSIONE;00457;830000457
VILLANOVA D'ASTI;00458;830000458
VILLAFRANCA-CANTARANA;00459;830000459
BALDICHIERI-TIGLIOLE;00460;830000460
S. DAMIANO D'ASTI;00461;830000461
ASTI;00462;830000462
S. PAOLO SOLBRITO;00463;830000463
CASTELLO D'ANNONE;00465;830000465
ROCCHETTA TANARO-CERRO;00466;830000466
FELIZZANO;00468;830000468
SOLERO;00469;830000469
ALESSANDRIA;00470;830000470
CHIERI;00500;830000500
MADONNA DELLA SCALA;00501;830000501
MONCALIERI SANGONE;00510;830000510
NICHELINO;00511;830000511
CANDIOLO;00512;830000512
NONE;00513;830000513
AIRASCA;00514;830000514
PISCINA DI PINEROLO;00515;830000515
RIVA DI PINEROLO;00516;830000516
PINEROLO;00517;830000517
BRICHERASIO;00521;830000521
BIBIANA;00522;830000522
LUSERNA SAN GIOVANNI;00523;830000523
TORRE PELLICE;00524;830000524
BARGE;00532;830000532
SCALENGHE;00540;830000540
CERCENASCO;00541;830000541
VIGONE;00542;830000542
VILLAFRANCA PIEMONTE;00543;830000543
MORETTA;00544;830000544
TORRE S. GIORGIO;00545;830000545
CERVIGNASCO;00546;830000546
SALUZZO;00547;830000547
VILLASTELLONE;00600;830000600
CARMAGNOLA;00601;830000601
RACCONIGI;00602;830000602
CAVALLERMAGGIORE;00603;830000603
SAVIGLIANO;00604;830000604
GENOLA;00605;830000605
FOSSANO;00606;830000606
MADDALENE;00607;830000607
CENTALLO;00608;830000608
S. BENIGNO DI CUNEO;00609;830000609
CUNEO;00610;830000610
CUNEO GESSO;00611;830000611
BORGO S. DALMAZZO;00613;830000613
ROCCAVIONE;00614;830000614
ROBILANTE;00615;830000615
VERNANTE;00616;830000616
LIMONE;00617;830000617
LIMONE CONFINE;00630;830000630
SANTENA-TETTI GIRO;00632;830000632
LAGNASCO;00650;830000650
MANTA;00700;830000700
VERZUOLO;00701;830000701
COSTIGLIOLE SALUZZO;00702;830000702
BUSCA;00704;830000704
CASTELLETTO BUSCA;00720;830000720
MONASTERO-PRATAVECCHIA;00721;830000721
DRONERO;00722;830000722
SOMMARIVA DEL BOSCO;00730;830000730
SANFRE;00731;830000731
BANDITO;00732;830000732
CHERASCO;00733;830000733
NARZOLE;00734;830000734
MONCHIERO-DOGLIANI;00735;830000735
FARIGLIANO;00737;830000737
CARRU'-CLAVESANA;00738;830000738
NIELLA;00739;830000739
ROCCACIGLIE;00740;830000740
CASTELLINO TANARO;00741;830000741
CEVA;00742;830000742
SALE LANGHE;00743;830000743
SALICETO;00744;830000744
CENGIO;00745;830000745
COSSERIA;00752;830000752
MONGARDINO;00801;830000801
VIGLIANO D'ASTI;00802;830000802
MONTEGROSSO;00803;830000803
AGLIANO-CASTELNUOVO CALCEA;00804;830000804
S. MARZANO OLIVETO;00806;830000806
BAZZANA;00807;830000807
MOMBARUZZO;00808;830000808
ALICE BELCOLLE;00809;830000809
MADONNA DEL PILONE;00820;830000820
BRA;00821;830000821
S. VITTORIA;00822;830000822
MONTICELLO D'ALBA;00823;830000823
MUSSOTTO;00824;830000824
ALBA;00825;830000825
BARBARESCO;00826;830000826
NEIVE;00827;830000827
CASTAGNOLE DELLE LANZE;00828;830000828
COSTIGLIOLE D'ASTI;00829;830000829
S. STEFANO BELBO;00831;830000831
CANELLI;00832;830000832
CALAMANDRANA;00833;830000833
NIZZA MONFERRATO;00834;830000834
INCISA SCAPACCINO;00835;830000835
CASTELNUOVO BELBO;00836;830000836
BRUNO;00837;830000837
BERGAMASCO;00838;830000838
CARENTINO;00839;830000839
OVIGLIO;00840;830000840
CANTALUPO;00841;830000841
POCAPAGLIA;00842;830000842
BORGORATTO;00860;830000860
GAMALERO;00861;830000861
SEZZADIO;00862;830000862
CASSINE;00864;830000864
CARANZANO-S. ANDREA;00865;830000865
STREVI;00866;830000866
ACQUI TERME;00867;830000867
TERZO-MONTABONE;00869;830000869
BISTAGNO;00870;830000870
PONTI;00871;830000871
MONTECHIARO DENICE;00872;830000872
MOMBALDONE-ROCCAVERANO;00873;830000873
SPIGNO;00874;830000874
MERANA;00875;830000875
PIANA;00876;830000876
DEGO;00877;830000877
ROCCHETTA CAIRO;00878;830000878
CAIRO MONTENOTTE;00879;830000879
VOLPIANO;00880;830000880
S. BENIGNO CANAVESE;00881;830000881
BOSCONERO;00882;830000882
FELETTO;00883;830000883
RIVAROLO CANAVESE;00884;830000884
FAVRIA-OGLIANICO;00885;830000885
